title,price_gbp,price_inr,rating,in_stock,availability,category
Lila (Gilead #3),12.47,1315.585,3,True,In stock,Fiction
Jurassic Park (Jurassic Park #1),44.97,4744.335,1,True,In stock,Fiction
Inferno (Robert Langdon #4),41.0,4325.5,5,True,In stock,Fiction
Crazy Rich Asians (Crazy Rich Asians #1),49.13,5183.215,5,True,In stock,Fiction
Big Little Lies,22.11,2332.605,1,True,In stock,Fiction
The Course of Love,16.78,1770.2900000000002,3,True,In stock,Fiction
When I'm Gone,51.96,5481.78,3,True,In stock,Fiction
The Silent Wife,12.34,1301.87,5,True,In stock,Fiction
The Bette Davis Club,30.66,3234.63,3,True,In stock,Fiction
Kitchens of the Great Midwest,57.2,6034.6,5,True,In stock,Fiction
Bright Lines,39.07,4121.885,5,True,In stock,Fiction
Sharp Objects,47.82,5045.01,4,True,In stock,Mystery
"In a Dark, Dark Wood",19.63,2070.9649999999997,1,True,In stock,Mystery
The Past Never Ends,56.5,5960.75,4,True,In stock,Mystery
A Murder in Time,16.64,1755.52,1,True,In stock,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4652.55,4,True,In stock,Mystery
The Last Mile (Amos Decker #2),54.21,5719.155,2,True,In stock,Mystery
That Darkness (Gardiner and Renner #1),13.92,1468.56,1,True,In stock,Mystery
Tastes Like Fear (DI Marnie Rome #3),10.69,1127.7949999999998,1,True,In stock,Mystery
A Time of Torment (Charlie Parker #14),48.35,5100.925,5,True,In stock,Mystery
A Study in Scarlet (Sherlock Holmes #1),16.73,1765.015,2,True,In stock,Mystery
Poisonous (Max Revere Novels #3),26.8,2827.4,3,True,In stock,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,5734.98,4,True,In stock,Mystery
Most Wanted,35.28,3722.04,3,True,In stock,Mystery
Hide Away (Eve Duncan #20),11.84,1249.12,1,True,In stock,Mystery
Boar Island (Anna Pigeon #19),59.48,6275.139999999999,3,True,In stock,Mystery
The Widow,27.26,2875.9300000000003,2,True,In stock,Mystery
Playing with Fire,13.71,1446.4050000000002,3,True,In stock,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,2676.5350000000003,5,True,In stock,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5517.65,5,True,In stock,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),20.89,2203.895,4,True,In stock,Mystery
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,2616.4,4,True,In stock,Mystery
In the Woods (Dublin Murder Squad #1),38.38,4049.09,2,True,In stock,Mystery
The Silkworm (Cormoran Strike #2),23.05,2431.775,5,True,In stock,Mystery
The Exiled,43.45,4583.975,3,True,In stock,Mystery
The Cuckoo's Calling (Cormoran Strike #1),19.21,2026.6550000000002,1,True,In stock,Mystery
Extreme Prey (Lucas Davenport #26),25.4,2679.7,3,True,In stock,Mystery
Career of Evil (Cormoran Strike #3),24.72,2607.96,2,True,In stock,Mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,6087.35,4,True,In stock,Mystery
The Girl You Lost,12.29,1296.5949999999998,5,True,In stock,Mystery
The Girl In The Ice (DCI Erika Foster #1),15.85,1672.175,3,True,In stock,Mystery
Blood Defense (Samantha Brinkman #1),20.3,2141.65,3,True,In stock,Mystery
1st to Die (Women's Murder Club #1),53.98,5694.889999999999,1,True,In stock,Mystery
The Secret Garden,15.08,1590.94,4,True,In stock,Classics
The Metamorphosis,28.58,3015.1899999999996,1,True,In stock,Classics
The Pilgrim's Progress,50.26,5302.429999999999,2,True,In stock,Classics
The Hound of the Baskervilles (Sherlock Holmes #5),14.82,1563.51,2,True,In stock,Classics
Little Women (Little Women #1),28.07,2961.385,4,True,In stock,Classics
Gone with the Wind,32.49,3427.695,3,True,In stock,Classics
Candide,58.63,6185.465,3,True,In stock,Classics
Animal Farm,57.22,6036.71,3,True,In stock,Classics
Wuthering Heights,17.73,1870.515,3,True,In stock,Classics
The Picture of Dorian Gray,29.7,3133.35,2,True,In stock,Classics
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,2825.29,4,True,In stock,Classics
Beowulf,38.35,4045.925,2,True,In stock,Classics
And Then There Were None,35.01,3693.555,2,True,In stock,Classics
The Story of Hong Gildong,43.19,4556.545,4,True,In stock,Classics
The Little Prince,45.42,4791.81,2,True,In stock,Classics
Sense and Sensibility,37.46,3952.03,1,True,In stock,Classics
Of Mice and Men,47.11,4970.105,2,True,In stock,Classics
Emma,32.93,3474.115,2,True,In stock,Classics
Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,5858.415,1,True,In stock,Classics
